"id_usuario","id_pedido","restaurante","valor","status","data_registro","data_pedido"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2052281812","Pastel Goiano","39.99","CONCLUDED","2018-08-24","2020-07-12"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2127099525","Restaurante  Brito ","20.0","CONCLUDED","2018-08-24","2020-08-03"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1993357234","Duarte Salgados","29.99","CONCLUDED","2018-08-24","2020-06-27"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2029550784","Simbora Restaurante 24h - St. Pedro","33.99","CONCLUDED","2018-08-24","2020-07-06"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2124093854","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-08-02"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1784564762","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-04-26"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2310218512","Emporio Gyn","19.8","CONCLUDED","2018-08-24","2020-09-26"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2308205813","Pratiko Supermercado","20.91","CONCLUDED","2018-08-24","2020-09-26"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2237681469","Restaurante  Brito ","22.0","CONCLUDED","2018-08-24","2020-09-05"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1713007588","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-04-03"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2173986341","Jantinha De Quintal","21.0","CANCELLED","2018-08-24","2020-08-17"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2743543098","Restaurante Keromais","23.8","CONCLUDED","2018-08-24","2021-01-05"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2117303169","Restaurante China Delivery","52.59","CONCLUDED","2018-08-24","2020-07-31"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2299562343","Restaurante  Brito","22.0","CONCLUDED","2018-08-24","2020-09-23"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2476448368","Vl Restaurante E Jantinha","23.97","CONCLUDED","2018-08-24","2020-11-11"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2352189604","Bao Acai 1","36.0","CONCLUDED","2018-08-24","2020-10-08"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2047426034","Vivi Restaurante","31.8","CONCLUDED","2018-08-24","2020-07-11"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2438272300","Vl Restaurante E Jantinha","30.97","CONCLUDED","2018-08-24","2020-11-02"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1985603681","Restaurante China Delivery","31.29","CONCLUDED","2018-08-24","2020-06-25"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2808158030","Bistrogonofe  - St. Marista","42.39","CONCLUDED","2018-08-24","2021-01-22"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2555780644","Vl Restaurante E Jantinha","23.97","CONCLUDED","2018-08-24","2020-11-28"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2177308581","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-08-19"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2424430373","Tchesco Grill","28.0","CONCLUDED","2018-08-24","2020-10-30"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2787318330","Bao Acai 1","33.0","CONCLUDED","2018-08-24","2021-01-17"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1586653872","Bao Acai - T3","39.0","CONCLUDED","2018-08-24","2020-02-29"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2449561819","Restaurante Keromais","17.8","CONCLUDED","2018-08-24","2020-11-05"
